circuit;turbo_era;hybrid_era;turbo_years;hybrid_years
Abu Dhabi Grand Prix;False;True;-1;-1
Argentine Grand Prix;True;False;-1;-1
Australian Grand Prix;True;True;5;8
Austrian Grand Prix;True;True;8;9
Azerbaijan Grand Prix;False;True;-1;-1
Bahrain Grand Prix;False;True;-1;-1
Belgian Grand Prix;True;True;10;9
Brazilian Grand Prix;True;True;10;5
British Grand Prix;True;True;10;10
Caesars Palace Grand Prix;True;False;-1;-1
Canadian Grand Prix;True;True;9;8
Chinese Grand Prix;False;True;-1;-1
Dallas Grand Prix;True;False;-1;-1
Detroit Grand Prix;True;False;-1;-1
Dutch Grand Prix;True;True;6;3
Eifel Grand Prix;False;True;-1;-1
Emilia Romagna Grand Prix;False;True;-1;-1
European Grand Prix;True;True;-1;1
French Grand Prix;True;True;-1;2
German Grand Prix;True;True;-1;4
Hungarian Grand Prix;True;True;4;10
Italian Grand Prix;True;True;10;10
Japanese Grand Prix;True;True;-1;6
Malaysian Grand Prix;False;True;-1;-1
Mexican Grand Prix;True;True;-1;5
Mexico City Grand Prix;False;True;-1;-1
Miami Grand Prix;False;True;-1;-1
Monaco Grand Prix;True;True;10;9
Portuguese Grand Prix;True;True;-1;2
Qatar Grand Prix;False;True;-1;-1
Russian Grand Prix;False;True;-1;-1
Sakhir Grand Prix;False;True;-1;-1
San Marino Grand Prix;True;False;-1;-1
SÆo Paulo Grand Prix;False;True;-1;-1
Saudi Arabian Grand Prix;False;True;-1;-1
Singapore Grand Prix;False;True;-1;-1
South African Grand Prix;True;False;-1;-1
Spanish Grand Prix;True;True;5;9
Styrian Grand Prix;False;True;-1;-1
Swiss Grand Prix;True;False;-1;-1
Turkish Grand Prix;False;True;-1;-1
Tuscan Grand Prix;False;True;-1;-1
United States Grand Prix;True;True;2;9
United States Grand Prix West;True;False;-1;-1
